Model,Total_Iterations,ODE,ODE_dim,net_size,lr,batch_size,stopping_loss,L1_avg,L2_avg,End_point_L1_avg,End_point_L2_avg
PINN MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.01,2048,0.0001,0.5977695268571924,0.6459984081823595,0.5547877419233497,0.6762721920558021
PINN MLP,4062,Van der Pol Oscillator,2,"(4, 50)",0.001,512,0.001,0.007685613680583821,0.008761031361143196,0.007164359143358854,0.0074620322517567695
PINN MLP,1844,Van der Pol Oscillator,2,"(4, 50)",0.001,512,0.0001,0.009209067614102399,0.011667557293180753,0.002981553292072407,0.002994967230537184
PINN MLP,6250,Van der Pol Oscillator,2,"(4, 50)",0.001,2048,0.001,0.009690188852416416,0.014729482957870044,0.009090325845760493,0.009371156627297489
PINN MLP,5781,Van der Pol Oscillator,2,"(4, 50)",0.001,2048,0.0001,0.006988707848306857,0.011191254474987476,0.0023477618157688646,0.002827295452073066
PINN base,23,Simplified 15D Linear System,15,"(2, 50)",0.01,512,0.001,0.043607877441934964,0.04708812745145431,0.04743243821229722,0.05780936791278956
PINN base,52,Simplified 15D Linear System,15,"(2, 50)",0.01,512,0.0001,0.013896987458680836,0.0175914643312063,0.011241919983288762,0.013406645070972336
PINN base,25,Simplified 15D Linear System,15,"(2, 50)",0.01,2048,0.001,0.04090677687024833,0.04374229009764627,0.040605866543201606,0.04778472309108791
PINN base,45,Simplified 15D Linear System,15,"(2, 50)",0.01,2048,0.0001,0.015216935556845047,0.01757922629412524,0.01454961591128583,0.01834043159015162
PINN base,35,Simplified 15D Linear System,15,"(2, 50)",0.001,512,0.001,0.034671395050828904,0.04117420259885011,0.030601357446625007,0.042323429436972544
PINN base,72,Simplified 15D Linear System,15,"(2, 50)",0.001,512,0.0001,0.011754412671103038,0.015904301968350236,0.010373509994436614,0.013101611087105934
PINN base,35,Simplified 15D Linear System,15,"(2, 50)",0.001,2048,0.001,0.045430513311519365,0.05021570673079354,0.04336712010711225,0.05677682478195245
PINN base,100,Simplified 15D Linear System,15,"(2, 50)",0.001,2048,0.0001,0.008373508363754662,0.011887974862907371,0.00761745532418385,0.009833692812482286
PINN base,25,Simplified 15D Linear System,15,"(3, 50)",0.01,512,0.001,0.027365674354454146,0.03121189283595373,0.024645341869797676,0.0351000893202149
